FOLIO,VIV_SEL,HOGAR,N_REN,P12_1_1,P12_1_2,P12_1_3,P12_2,P12_3_1,P12_3_2,P12_3_3,P12_3_4,P12_3_5,P12_4_1,P12_4_2,P12_4_3,P12_4_4,P12_4_5,P12_4_6,P12_5_1,P12_5_2,P12_5_3,P12_5_4,P12_5_5,P12_5_6,P12_5_7,P12_6_1,P12_6_2,P12_6_3,P12_6_4,P12_6_5,P12_6_6,ENT,EST_DIS,UPM_DIS,FACTOR
0100075,02,1,02,2,9,1,4,4,5,3,2,5,2,5,2,2,3,2,1,1,1,1,1,1,2,2,2,2,2,2,2,01,002,0000008,559
0100075,05,1,03,1,1,1,2,2,3,3,2,2,2,2,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,01,002,0000008,1118
0100075,05,2,01,9,2,2,9,4,4,2,5,5,2,5,3,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,01,002,0000008,279
0100078,01,1,02,2,2,2,4,1,1,1,1,5,2,2,1,3,3,1,2,2,2,2,1,1,1,2,2,2,2,2,2,01,001,0000009,537
0100078,02,1,01,1,9,2,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,001,0000009,269
0100078,03,1,02,1,1,2,2,1,4,4,5,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,001,0000009,506
0100078,04,1,01,2,2,2,3,3,5,1,1,5,3,5,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,01,001,0000009,269
0100078,05,1,01,1,1,1,3,2,2,5,5,1,2,3,2,2,2,2,2,2,1,1,3,2,1,2,2,2,2,2,2,01,001,0000009,269
0100081,01,1,02,9,9,2,2,4,4,4,4,5,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,01,001,0000010,829
0100081,03,1,01,2,1,2,2,3,3,3,3,3,3,3,1,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,01,001,0000010,587
0100081,04,1,02,2,1,1,3,4,4,4,4,4,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,01,001,0000010,829
0100081,05,1,02,9,1,1,4,3,4,5,5,1,2,1,1,2,1,1,1,3,1,2,1,1,2,2,2,2,2,2,2,01,001,0000010,881
0100087,01,1,01,1,1,1,3,4,4,2,5,2,2,3,3,1,1,1,1,2,1,1,1,1,1,2,2,1,2,2,2,01,001,0000011,532
0100087,02,1,06,1,1,1,2,4,2,4,4,1,1,5,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,01,001,0000011,1863
0100087,03,1,02,2,2,2,4,3,4,2,2,5,2,3,1,1,1,1,2,2,2,1,3,1,1,2,2,1,2,2,2,01,001,0000011,798
0100087,04,1,01,9,9,1,3,4,4,4,3,1,2,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,01,001,0000011,501
0100087,05,1,05,1,1,1,3,2,2,4,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,01,001,0000011,1253
0100087,05,2,03,1,1,1,3,4,4,2,1,1,2,2,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,01,001,0000011,1002
0100091,01,1,01,2,1,1,9,4,5,1,1,5,2,5,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,01,001,0000012,416
0100091,04,1,05,1,1,1,2,2,2,4,2,1,2,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,01,001,0000012,1041
0100091,05,1,02,1,1,9,2,3,5,3,3,5,3,5,1,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,01,001,0000012,625
0100137,01,1,01,9,2,1,1,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,01,002,0000013,217
0100137,02,1,01,2,2,2,4,4,4,3,3,3,3,1,1,1,1,1,2,3,1,1,1,1,1,2,2,2,2,2,2,01,002,0000013,231
0100137,03,1,03,1,1,1,2,2,1,3,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000013,869
0100137,04,1,03,1,1,1,2,1,2,3,3,1,2,5,1,2,1,1,1,4,1,1,1,1,2,2,2,2,2,2,2,01,002,0000013,693
0100137,05,1,02,1,1,1,3,3,3,3,3,3,2,2,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000013,435
0100138,01,1,04,1,1,1,2,4,1,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000014,1015
0100138,02,1,01,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000014,507
0100138,03,1,03,1,1,1,1,3,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000014,1015
0100138,04,1,02,2,2,2,9,4,4,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,01,002,0000014,478
0100138,05,1,01,2,2,2,4,4,4,4,4,5,3,4,1,3,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,01,002,0000014,478
0100148,01,1,01,2,2,2,9,4,4,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000015,259
0100148,02,1,03,1,1,1,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000015,1297
0100148,03,1,02,1,1,1,2,4,3,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000015,519
0100148,04,1,01,2,2,2,9,4,5,4,4,5,2,5,2,3,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,01,002,0000015,519
0100148,05,1,02,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000015,519
0100161,01,1,04,2,1,1,3,1,1,5,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000016,1634
0100161,02,1,01,2,1,2,2,4,3,3,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000016,817
0100161,04,1,05,1,1,1,3,3,5,2,3,1,2,1,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,01,002,0000016,1736
0100161,05,1,01,2,2,2,4,2,5,2,1,4,2,5,2,1,3,2,2,3,1,1,1,1,1,2,2,2,2,2,2,01,002,0000016,545
0100171,01,1,01,2,2,2,1,4,5,4,4,5,1,5,1,2,1,1,2,1,1,1,1,1,1,2,1,2,2,2,2,01,002,0000017,298
0100171,03,1,01,9,9,9,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000017,159
0100171,04,1,01,2,2,2,3,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000017,317
0100171,05,1,01,2,2,2,9,4,4,4,4,4,3,5,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000017,448
0100173,01,1,01,2,2,2,3,4,4,4,4,4,2,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000018,546
0100173,02,1,01,2,2,2,9,4,4,4,4,4,2,5,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,01,002,0000018,273
0100173,03,1,01,1,1,2,2,3,5,9,2,2,2,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000018,820
0100173,05,1,01,1,1,1,9,2,3,3,3,3,2,2,2,2,2,2,1,2,1,1,1,2,1,2,2,2,2,2,2,01,002,0000018,820
0100176,01,1,02,1,1,1,3,2,1,3,3,1,2,5,2,2,1,2,1,1,2,1,1,2,1,2,2,2,2,2,2,01,002,0000019,556
0100176,02,1,01,2,2,2,3,4,4,4,4,5,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000019,1180
0100176,03,1,01,2,2,2,4,2,5,2,2,2,1,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000019,885
0100176,04,1,02,9,1,1,2,4,4,4,4,4,4,2,3,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000019,590
0100176,05,1,02,1,1,1,3,3,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,01,002,0000019,833
0100181,01,1,01,2,1,2,3,3,3,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000020,536
0100181,02,1,01,2,2,2,4,4,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000020,536
0100181,03,1,01,1,1,9,2,3,5,1,1,1,2,5,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,01,002,0000020,1071
0100181,04,1,01,2,2,2,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000020,803
0100181,05,1,02,1,1,1,3,4,4,5,5,2,4,2,2,1,1,3,1,1,1,2,1,3,2,2,2,2,2,2,2,01,002,0000020,536
0100182,02,1,02,2,1,2,3,4,4,3,3,3,2,2,1,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,01,002,0000021,1526
0100182,04,1,03,1,1,1,2,3,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,01,002,0000021,763
0100182,05,1,02,2,2,2,3,3,3,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,01,002,0000021,509
0100183,01,1,01,1,1,1,2,2,3,4,4,1,2,5,2,2,2,2,1,1,2,1,1,2,1,2,2,2,2,2,2,01,002,0000022,477
0100183,02,1,01,2,1,2,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000022,477
0100183,03,1,01,9,9,9,3,4,4,3,1,1,2,2,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,01,002,0000022,715
0100183,04,1,02,2,1,1,3,4,4,3,3,3,1,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000022,477
0100183,05,1,04,1,1,1,3,4,2,3,3,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,01,002,0000022,954
0100215,03,1,01,2,2,2,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000023,304
0100215,04,1,01,1,2,2,2,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000023,646
0100215,05,1,02,1,1,1,3,4,5,3,2,1,2,5,2,2,2,2,2,3,2,1,1,2,2,2,2,2,2,2,2,01,002,0000023,608
0100223,01,1,02,2,9,9,9,4,5,3,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000024,534
0100223,02,1,02,2,2,2,3,1,4,2,2,2,2,5,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000024,534
0100223,03,1,01,1,1,1,3,4,1,3,3,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,01,002,0000024,267
0100223,04,1,01,1,1,1,3,4,4,3,3,4,2,2,1,2,1,2,2,2,1,1,1,2,1,2,2,2,2,2,2,01,002,0000024,284
0100223,05,1,01,2,2,2,4,4,4,4,3,4,3,3,4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000024,267
0100224,02,1,01,1,1,2,1,2,5,2,2,3,2,5,1,3,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,003,0000025,649
0100224,04,1,03,1,1,1,4,2,2,5,2,2,2,2,2,2,1,2,1,3,1,1,1,3,3,2,2,2,2,2,2,01,003,0000025,1034
0100224,05,1,02,2,2,2,2,2,2,2,2,3,2,5,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,01,003,0000025,649
0100235,01,1,01,2,2,2,4,4,5,4,4,5,3,5,2,3,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000026,546
0100235,04,1,01,1,1,1,2,2,3,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,01,002,0000026,273
0100238,01,1,01,2,2,2,2,4,5,5,4,5,2,5,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000027,543
0100238,01,2,01,1,2,2,4,4,4,5,3,5,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000027,171
0100238,03,1,01,1,2,2,9,4,5,5,1,5,2,5,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,01,002,0000027,171
0100238,05,1,01,2,2,2,3,4,5,3,3,5,2,5,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,01,002,0000027,341
0100269,01,1,03,1,1,1,3,2,4,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000028,1042
0100269,03,1,02,1,1,1,4,4,4,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000028,781
0100269,05,1,03,2,2,2,2,3,3,1,1,3,3,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,01,002,0000028,1042
0100271,04,1,02,2,2,2,3,4,4,3,3,1,2,2,1,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,01,002,0000029,512
0100271,05,1,02,2,9,2,9,4,4,4,4,4,2,2,1,2,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,01,002,0000029,768
0100290,01,1,01,9,9,9,9,5,5,5,5,5,1,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000030,289
0100290,02,1,01,2,2,2,3,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000030,613
0100290,03,1,04,1,1,1,3,4,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000030,1226
0100290,04,1,01,1,1,2,3,4,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000030,866
0100290,05,1,02,2,2,2,3,4,3,3,2,2,2,3,2,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000030,577
0100332,01,1,02,2,2,2,3,4,4,4,3,3,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,01,002,0000031,878
0100332,02,1,05,2,2,2,3,4,2,2,2,2,1,5,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,01,002,0000031,1378
0100332,03,1,02,1,1,2,2,4,2,2,2,2,2,2,1,2,2,1,1,1,2,1,1,2,1,2,2,2,2,2,2,01,002,0000031,585
0100332,04,1,03,2,1,2,4,4,3,3,3,3,2,5,1,2,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,01,002,0000031,827
0100339,01,1,02,2,2,2,1,3,5,3,5,4,1,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,01,002,0000032,829
0100339,03,1,02,2,2,2,3,2,5,3,3,3,1,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000032,553
0100339,04,1,01,1,2,2,2,4,4,3,3,3,4,1,1,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,01,002,0000032,587
0100339,05,1,02,1,1,1,3,2,3,3,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000032,553
0100343,01,1,03,1,1,1,1,1,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,01,002,0000033,876
0100343,02,1,02,1,1,2,3,4,3,3,3,3,2,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000033,550
0100343,03,1,05,1,1,2,3,4,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,01,002,0000033,1374
0100343,04,1,01,2,2,2,2,4,3,5,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000033,1168
0100343,05,1,01,2,2,2,2,4,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000033,1751
0100348,01,1,02,1,1,2,2,2,2,3,3,2,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000034,571
0100348,02,1,01,2,2,2,9,4,5,4,4,5,2,5,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000034,269
0100348,03,1,03,2,1,1,3,4,2,4,3,1,3,2,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,01,002,0000034,857
0100348,04,1,01,2,2,2,1,4,5,3,3,1,1,5,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,01,002,0000034,286
0100348,05,1,01,1,2,2,4,4,5,4,1,5,3,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000034,1142
0100358,01,1,02,1,1,1,3,4,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,001,0000035,805
0100358,02,1,01,1,1,1,2,4,5,2,2,2,1,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,001,0000035,1342
0100358,03,1,01,1,1,9,2,4,5,2,2,3,2,5,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,01,001,0000035,570
0100358,04,1,03,1,1,2,4,4,2,4,5,2,2,2,3,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,01,001,0000035,805
0100358,05,1,02,2,2,2,2,4,5,4,4,5,2,5,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,01,001,0000035,537
0100366,01,1,01,1,2,2,3,4,3,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000036,679
0100366,04,1,01,2,2,2,1,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000036,906
0100373,01,1,02,9,1,2,3,2,5,1,1,4,3,5,1,1,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,01,002,0000037,770
0100373,02,1,03,1,2,2,2,4,5,2,2,2,4,5,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,01,002,0000037,770
0100373,03,1,02,1,1,1,2,4,2,5,5,1,2,1,2,2,2,2,1,1,1,1,1,1,1,2,2,1,2,2,2,01,002,0000037,1090
0100373,04,1,03,1,1,1,4,4,3,3,2,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,01,002,0000037,770
0100373,05,1,02,1,1,2,1,4,4,2,2,2,3,3,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000037,545
0100376,01,1,02,1,1,1,3,3,2,1,1,1,2,5,1,2,2,1,1,2,2,1,1,1,1,2,2,2,1,2,2,01,002,0000038,515
0100376,03,1,02,2,2,2,3,1,5,3,5,4,3,5,1,1,1,2,3,1,1,4,1,1,1,2,2,2,2,2,2,01,002,0000038,484
0100376,04,1,02,1,1,1,3,4,5,5,5,5,1,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000038,727
0100376,05,1,01,2,1,2,4,2,5,4,2,1,1,5,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,01,002,0000038,257
0100385,01,1,03,9,1,1,2,3,1,5,5,3,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,01,003,0000039,1762
0100385,01,2,01,2,2,2,1,3,4,2,2,3,3,2,1,3,1,2,1,2,1,3,2,1,1,2,1,2,2,2,2,01,003,0000039,587
0100385,02,1,01,2,1,2,9,3,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,003,0000039,294
0100385,03,1,04,1,1,1,3,2,1,5,5,1,1,1,2,1,1,2,1,1,2,1,1,1,2,2,2,2,2,2,2,01,003,0000039,1248
0100385,05,1,03,1,1,2,3,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,01,003,0000039,936
0100388,01,1,02,1,9,1,2,4,3,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000040,783
0100388,02,1,05,2,2,2,3,4,4,2,2,3,3,4,2,1,1,2,2,1,1,2,1,1,2,2,2,2,2,2,2,01,002,0000040,1304
0100388,03,1,02,1,2,2,2,4,4,4,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000040,522
0100417,01,1,03,1,1,1,3,2,3,2,3,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,01,003,0000041,1040
0100417,02,1,01,1,1,1,2,3,3,4,2,4,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,01,003,0000041,653
0100417,03,1,04,1,1,1,3,3,2,2,1,1,1,5,1,2,2,1,1,2,2,1,1,1,1,2,2,1,2,2,2,01,003,0000041,1387
0100417,04,1,04,1,1,1,3,2,1,4,3,1,2,1,1,2,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,01,003,0000041,1633
0100417,05,1,01,1,1,1,1,3,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,003,0000041,327
0100420,01,1,01,1,1,2,3,4,4,4,3,1,3,1,3,2,2,3,2,1,2,2,3,3,2,2,2,2,2,2,2,01,002,0000042,490
0100420,02,1,01,2,2,2,4,4,5,3,2,2,2,5,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000042,1041
0100420,03,1,03,1,1,1,2,2,1,2,2,1,2,5,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,01,002,0000042,781
0100420,04,1,01,2,1,2,9,4,4,4,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000042,1561
0100420,05,1,01,2,2,2,9,4,4,4,4,4,3,3,2,3,1,3,2,2,3,3,3,3,3,2,2,2,2,2,2,01,002,0000042,520
0100422,01,1,02,9,9,9,3,4,5,5,3,2,2,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000043,786
0100422,02,1,05,1,1,1,1,3,1,4,4,1,1,5,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000043,1311
0100422,03,1,01,1,2,2,1,2,3,1,1,1,3,2,1,3,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000043,1114
0100422,04,1,02,1,2,2,3,4,5,3,3,3,3,5,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000043,524
0100422,05,1,04,1,1,1,3,4,3,3,3,1,2,5,1,2,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,01,002,0000043,1311
0100429,01,1,02,2,2,2,4,2,5,2,2,2,1,5,2,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,01,002,0000044,1004
